"1";"DumpertReeten in HD (1)";"2014-04-11";"6593210/6eefa8ad/";"N4WLCsp3LbY";"Maxim & Rene reeten Dumpert. In HD.. EPISODE 2 EPISODE 3";"a:2:{i:0;i:1;i:1;i:2;}"
"2";"DumpertReeten in HD (2)";"2014-04-18";"6594209/69c960e0/";"FgOC9In0RBU";"Maxim & Rene reeten Dumpert. In HD.";"a:2:{i:0;i:1;i:1;i:2;}"
"3";"DumpertReeten in HD (3)";"2014-04-25";"6595269/16b8c7c4/";"hT_EaEy_2-A";"Maxim & Rene reeten Dumpert. In HD. EPISODE 1 EPISODE 2";"a:2:{i:0;i:1;i:1;i:2;}"
"4";"DumpertReeten in HD (4)";"2014-05-02";"6596311/7840b646/";"coAqldpvH_A";"Maxim & Rene reeten Dumpert. In HD. EPISODE 1 | EPISODE 2 | EPISODE 3";"a:2:{i:0;i:1;i:1;i:2;}"
"5";"DumpertReeten in HD (5)";"2014-05-09";"6597506/b02ff481/";"swamq0SDTIA";"Maxim & Rene reeten Dumpert. In HD. 
EPISODE 1 | EPISODE 2 | EPISODE 3 | EPISODE 4";"a:2:{i:0;i:1;i:1;i:2;}"
"6";"DumpertReeten (6)";"2014-10-10";"6620547/0ed46d19/";"n-u0aXHztkk";"<p>Maxim Hartman is terug op Dumpert! Geniet van een nieuwe uitzending van DumpertReeten!<br>Dit zijn de video's die worden gereet:<br><a href=""http://www.dumpert.nl/mediabase/6620281/1a648fb6/papieren_vluigtuig_machinegeweer.html"" target=""_blank"">Papieren vliegtuig machinegeweer</a><br><a href=""http://www.dumpert.nl/mediabase/6620315/2b5694c6/in_natura_betalen.html"" target=""_blank"">In natura betalen</a><br><a href=""http://www.dumpert.nl/mediabase/6620131/01eaa410/gozer_pest_vriendinnetje_met_lord_of_the_rings_quotes.html"" target=""_blank"">Man pest vrouw met LotR-quotes</a><br><a href=""http://www.dumpert.nl/mediabase/6619928/3afa42f5/soldaat_geeft_geen_neuk.html"" target=""_blank"">Soldaat geeft geen neuk</a><br><a href=""http://www.dumpert.nl/mediabase/6620304/74c52405/keukenmeisje_pesten.html"" target=""_blank"">Keukenmeisje pesten</a><br><a href=""http://www.dumpert.nl/mediabase/6620233/a3dfae2f/vette_fietsskills_in_het_bos.html"" target=""_blank"">Vette fiets skills </a><br><a href=""http://www.dumpert.nl/mediabase/6620242/dc49437b/pranks_gaan_verkeerd.html"" target=""_blank"">Pranks gaan verkeerd</a><br>Volgende week weer een nieuwe episode! Oude episodes kun je <a href=""http://www.dumpert.nl/search/ALL/dumpertreeten/"" target=""_blank"">HIER</a> zien. </p>";"a:2:{i:0;i:1;i:1;i:2;}"
"7";"DumpertReeten (7)";"2014-10-17";"6621520/7c40d138/";"kmnwpBRsVeE";"<p>Vandaag in DumpertReeten: Maxim + een lekker wijf!<br>

Dit zijn de video's die worden gereet:<br>

<a href=""www.dumpert.nl/mediabase/6620965/14cebbec/lol_met_de_bladblazer.html"" target=""_blank"">LOL met bladblazer</a><br>
<a href=""www.dumpert.nl/mediabase/6620925/4268d97d/mozart_zonder_handen.html"" target=""_blank"">Mozart zonder handen</a><br>
<a href=""http://www.dumpert.nl/mediabase/6620859/db4bd382/bart_vriends_pwnt_verslaggever.html"" target=""_blank"">Voetballer PWNT verslaggever</a><br>
<a href=""http://www.dumpert.nl/mediabase/6620698/dbd9df13/basejumpers_landen_midden_in_poolparty.html"" target=""_blank"">Basejumpers landen in poolparty</a><br>
<a href=""http://www.dumpert.nl/mediabase/6620995/b1e51118/de_onbekende_cameraman_is_weer_terug_.html"" target=""_blank"">Onbekende cameraman is terug!</a><br>
<a href=""http://www.dumpert.nl/mediabase/6620971/ff3f6961/kameel_slachten_gaat_verkeerd.html"" target=""_blank"">Kameel slachten gaat verkeerd</a><br> 
<a href=""http://www.dumpert.nl/mediabase/6621137/d8491adf/meisje_heeft_gordel_niet_om.html"" target=""_blank"">Meisje heeft gordel niet om</a><br>
<a href=""http://www.dumpert.nl/mediabase/6620960/70d67939/meisje_met_vage_danspasjes.html"" target=""_blank"">Meisje met vage danspasjes</a><br>

Vorige uitzending gemist? Check em <a href=""http://www.dumpert.nl/mediabase/6620547/0ed46d19/dumpertreeten_(6).html"" target=""_blank"">HIERRR!</a></p>";"a:2:{i:0;i:1;i:1;i:2;}"
"8";"DumpertReeten (8) met Shelly";"2014-10-23";"6622487/95cbeb4e/";"cdLNCLXjKXs";"<p>DumpertReeten is vandaag een keer op donderdag. En met Shelly als reetmeisje!
<br>
Dit zijn de video's die worden gereet:
<br>
<a href=""http://www.dumpert.nl/mediabase/6621668/a57a13c2/thug_life.html"" target=""_blank"">Hello mothafucker!</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6621770/cab79a46/goed_gebruik_maken_van_een_dron"" target=""_blank"">Dronegluurbuur</a>
<br>

<a href=""http://www.dumpert.nl/mediabase/6622242/258c6143/het_stormde_gister_zo_hard_in_engeland.html"" target=""_blank"">Omgekeerde waterval</a> 
<br>
<a href=""&#10;http://www.dumpert.nl/mediabase/6622280/89914e36/jack_krijgt_slappe_lach.html&#10;"" target=""_blank"">Jack van Gelder slappe lach</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6622024/f33202e0/nee_niet_daarheen_gulevich.html&#10;"" target=""_blank"">Nee niet daarheen Gulevich </a>
<br>

<a href=""&#10;http://www.dumpert.nl/mediabase/6621723/1d066c07/houd_deze_afvalbak_met_beide_handen_vast_.html"" target=""_blank"">Zwembad faal jump</a>
<br>
<a href=""&#10;http://www.dumpert.nl/mediabase/6622270/684e5c1f/woensdagmiddag_adrenalineboost.html"" target=""_blank"">Adrenaline kick rotsjump</a>
<br>
<a href=""&#10;http://www.dumpert.nl/mediabase/6621900/3fbe0197/pablo_steekt_vuurwerkje_af.html"" target=""_blank"">Pablo steekt rotje af</a>
<br>

<a href=""http://www.dumpert.nl/mediabase/6622085/2678a269/wat_is_het_belangrijkste_in_een_vrouw_.html&#10;"" target=""_blank"">Rus over het belangrijkste aan een vrouw</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6622292/53d0a124/russische_zelfmoordpoes.html&#10;"" target=""_blank"">Kat wil dood
</a>
<br>
Oude episodes terugzien? Dat kan <a href=""http://www.dumpert.nl/search/ALL/dumpertreeten/"" target=""_blank""><strong>HIER!</strong></a>
<br>
</p>";"a:2:{i:0;i:1;i:1;i:3;}"
"9";"DumpertReeten (9)";"2014-10-31";"6623662/fcdc5810/";"qlVkheqCbfQ";"<p>Ze zijn BACK: Rene de HaatGinger en Maxim Hartman. Voor je wekelijkse portie gereet!
<br>
Dit zijn de video's die een reeting ontvangen:
<a href=""http://www.dumpert.nl/mediabase/6622872/5f1eaf82/mama_is_pleite.html"" target=""_blank"">Mama is pleitte</a>, <a href=""http://www.dumpert.nl/mediabase/6622973/2c7a682e/mama_is_pleite,_de_remix.html"" target=""_blank"">remix1</a>, <a href=""http://www.dumpert.nl/mediabase/6623145/812d0922/mama_is_pleite,_nog_een_remix.html"" target=""_blank"">remix2</a> en <a href=""http://www.dumpert.nl/mediabase/6623451/ae5634ef/mama_is_pleite,_mashup_v3.html"" target=""_blank"">remix3</a>. 
<br>
<a href=""http://www.dumpert.nl/mediabase/6623115/25e8ca5a/plakband.html"" target=""_blank"">Plakband</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6622769/554107e1/raketten_afschieten_in_slowmotion.html"" target=""_blank"">Raketten afschieten in slowmotion</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6623181/3291dffb/vrachtwagenchauffeur_heeft_opslag_verdiend.html"" target=""_blank"">Vrachtwagenchauffeur verdient opslag</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6623211/2ad4dc4e/kots_in_je_gezicht.html"" target=""_blank"">Kotsen in je gezicht </a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6623313/f9b93d6e/raketexplosie_vanaf_persplaats.html"" target=""_blank"">Raketexplosie</a> </p>";"a:2:{i:0;i:1;i:1;i:2;}"
"10";"DumpertReeten (10)";"2015-01-19";"6635674/e4cf423f/";"kJSr-7Muogg";"<p>En we zijn weer KEIHARD terug! Met vandaag in de show:<br><br>

<a href=""http://www.dumpert.nl/mediabase/6635082/771a228d/_moslimachtige_mensen_belagen_trucker_in_rotterdam.html"" target=""_blank""><strong>'Moslimachtige mensen' belagen trucker in Rotterdam</strong></a> <a href=""http://www.geenstijl.nl/mt/archieven/2015/01/tik_tak_tik_tak_tik_tak.html"" target=""_blank""><strong>(*)</strong></a><br>

<a href=""http://www.dumpert.nl/mediabase/6635517/82d16aec/onder_de_indruk_van_boer_geert.html"" target=""_blank""><strong>Onder de indruk van Boer Geert</strong></a><br>

<a href=""http://www.dumpert.nl/mediabase/6635542/2f7d86cc/dagje_peddelen_in_rotterdam.html"" target=""_blank""><strong>Dagje peddelen in Rotterdam</strong></a><br>

<a href=""http://www.dumpert.nl/mediabase/6635525/727c72e4/slechte_dag_met_gta.html"" target=""_blank""><strong>Slechte dag met GTA</strong></a><br>

<a href=""http://www.dumpert.nl/mediabase/6635602/2972e08e/petje_wil_vechten.html"" target=""_blank""><strong>Petje wil vechten</strong></a><br>

<a href=""http://www.dumpert.nl/mediabase/6635488/ad2bbee4/louis_from_gaal_strikes_again_.html"" target=""_blank""><strong>Louis from Gaal strikes again!</strong></a><br></p>";"a:2:{i:0;i:2;i:1;i:4;}"
