"0";"Overig";;
"1";"Game of Goats";"6592978/ea57ec5a/";"Beter dan de Thrones versie"
"2";"ALLE MAROKKANEN TERUG NAAR...";"6592686/c92d6080/";"En dan jezelf afvragen waarom je moeilijk aan een baan kunt komen"
"3";"Monika hunes";"6592936/c0223aed/";"Mevrouw komt al TWEE JAAR niet opdagen voor vergaderingen - zonder afbericht - maar strijkt wel de vergoedingen op. Totaal al 18.400,- euro. Gemeenschapsgeld. Ook ontving ze een fractiebijdrage van 12.000 euro. Gemeenschapsgeld. Bij Forza! is mevrouw er a"
"4";"Verslaggever te water";;
"5";"FUCK de arme";"6592662/d86e5ab7/";"Want als je lief doet, haal je meer geld op. Ofzo"
"6";"Festivalseizoen in de UK is begonnen!";"6592877/2beccb00/";"Dus dat betekent dronken modderhoeren aan het zeiken in andermans zijn tent!"
"7";"Uien snijden als een pro";"6592502/6afec894/";"Zonder te janken. Plus één."
"8";"Dimitri is blij met Dumpert 5.0";"6593069/6d387136/";"Want ook in Rusland kijken ze op 720p"
"9";"Alle fucks uit the Wolf of Wall Street.";"6580370/554ec23b/";"Want fuck"
"10";"Hallo Jumbo! Zo gaan we niet met klanten om";"6593127/f3a3ce7e/";"KOOP DAN!!!11"
"11";"Rebull";;"Of zo iets"
"12";"forel williams huilen";;
"13";"Koffie of thee";;
"14";"Wat doet een DJ nou eigenlijk?";"6593110/977dc012/";"Even een korte impressie"
"15";"Eendtjes te water";;
"16";"Van der Sar spreekt vuurwerkgooiende Ajaxpaupers toe";"6594473/f0b11439/";"Goed gezegd Edwin, maar dat snappen die IQ-loze tokkies waarschijnlijk toch niet."
"17";"PAC Zwollen hakken";;
"18";"Rugby mietje";;
"19";"GSTV en de Smerigste Friet van Nederland";"6594935/afb4a898/";"Hardwerkende Nederlanders kapot maken. Daar zijn ze bij het Algemeen Dagblad hartstikke goed in. Of het nu met de Haringtest is, met de Oliebollentest, of met de recente Friettest. VanLeeuwen ging met gevaar voor eigen leven langs bij de twee beroerdst be"
"20";"Kind bijna aagereden";;
"21";"Agente gooit granaat tijdens oefening";"6595030/6376a352/";"Wie had dat gedacht?"
"22";"Polen klaar voor WOIII";"6594636/e0e7bbf0/";"Niet mee te fucken deze gasten"
"23";"Meneer is boos omdat hij bijna werd aangereden";"6594706/3bdb367d/";"Je bent toch een homo ofniet!?"
"24";"Kate Upton geeft paasgroet";"2088801/697f8137/";"LANG LEVE DE PAASHAAS!!!"
"25";"Rus probeert Oculus Rift";"6595125/791de2e2/";"Moehaha PWND!"
"26";"voetbal racisme";;
"27";"home made asbak";;
"28";"Vis in de modder";;
"29";"Me zelf";;
"30";"Ondertussen in de Turkse Hifi store";"6595972/3936f30a/";"Wacht for it"
"31";"Lekker hapje doen op straat in China.";"6595868/daceb31f/";"Wilt u bij bij?"
"32";"Kano crash compilatie";"6596113/7ba56864/";"Wie heeft die steen er dan ook neer gelegd?"
"33";"Universeel";;
"34";"random";;
"35";"random";;
"36";"Coole vogel is cool";"6596477/dc31ffa6/";"Kan meer chickies krijgen dan jullie"
"37";"Kinderen slaan";;
"38";"kinderen danse de tango";;
"39";"Vrouwen die klaar komen";;
"40";"Kat VS deur";;
"41";"Tank";;
"42";"Paart en oude gast";;
"43";"Luie van gaal";;
"44";"Free run rotterdam";;
"45";"Papieren vluigtuig machinegeweer";"6620281/1a648fb6/";"OMG! Beste uitvinding sinds het wiel"
"46";"In natura betalen...";"6620315/2b5694c6/";"Fietsenmaker uit Bos en Lommer vertelt zijn verhaal"
"47";"Gozer pest vriendinnetje met Lord of The Rings-quotes";"6620131/01eaa410/";"Stiekem houdt ze er wel van"
"48";"Soldaat geeft geen neuk";"6619928/3afa42f5/";"Ja we worden beschoten... dus?"
"49";"Keukenmeisje pesten";"6620304/74c52405/";"Verwacht je ook niet.."
"50";"Vette fietsskills in het bos";"6620233/a3dfae2f/";"Mannen met een hobby..."
"51";"Pranks gaan verkeerd";"6620242/dc49437b/";"Ka-ka-ka-karmaaaaaaa"
"52";"Lol met de bladblazer";"6620965/14cebbec/";"En nu met een hogedrukreiniger"
"53";"Mozart zonder handen";"6620925/4268d97d/";"Mozart zonder handen"
"54";"Bart Vriends pwnt verslaggever";"6620859/db4bd382/";"Zoek op dan!"
"55";"Basejumpers landen midden in poolparty";"6620698/dbd9df13/";"Zo... en nu BIER!"
"56";"De onbekende cameraman is weer terug!";"6620995/b1e51118/";"Want we hebben toch niks te verber..Snel film terug!"
"57";"Kameel slachten gaat verkeerd";"6620971/ff3f6961/";"Joh, en het zag er nog wel zo profi uit!"
"58";"Meisje heeft gordel niet om";"6621137/d8491adf/";"Hier is Koos vast niet blij mee jongedame"
"59";"Meisje met vage danspasjes";"6620960/70d67939/";"Ja, dit is een heks. Sloop het met vuur"
"60";"Thug Life";"6621668/a57a13c2/";"Say hello to the camera"
"61";"Goed gebruik maken van een drone";"6621770/cab79a46/";"Hèhè, eindelijk iemand die het snapt"
"62";"Het stormde gister zo hard in Engeland";"6622242/258c6143/";"Dat een waterval ophield met bestaan"
"63";"Jack krijgt slappe lach";"6622280/89914e36/";"Youri zakt verder en verder..."
"64";"Nee niet daarheen Gulevich";"6622024/f33202e0/";"Of toch wel? WTF gast..."
"65";"Houd deze afvalbak met beide handen vast!!";"6621723/1d066c07/";"Drie, twee, een, spring!!"
"66";"Woensdagmiddag Adrenalineboost";"6622270/684e5c1f/";"Holy fuck shit merde je moeder"
"67";"Pablo steekt vuurwerkje af";"6621900/3fbe0197/";"Wegstaan anders knalt-ie misschien wel!"
"68";"Wat is het belangrijkste in een vrouw?";"6622085/2678a269/";"Rus gaat diep.... heel diep"
"69";"Russische zelfmoordpoes";"6622292/53d0a124/";"Of toch een goedkope manier gevonden om high te worden"
"70";"Plakband";"6623115/25e8ca5a/";"Neem je moeder in de maling"
"71";"Raketten afschieten in slowmotion";"6622769/554107e1/";"En daarom, reaguurders, moet je nooit achter een raket staan wanneer deze afgevuurd word."
"72";"Vrachtwagenchauffeur heeft opslag verdiend";"6623181/3291dffb/";"Zo, 5 eurie per maand erbij!"
"73";"KOTS IN JE GEZICHT";"6623211/2ad4dc4e/";"Welke lokale dancing is dit?"
"74";"Geit met nek skil";;
"75";"Raketexplosie vanaf persplaats";"6623313/f9b93d6e/";"Oh god. Zo dichtbij....en BOEM!"
"76";"'Moslimachtige mensen' belagen trucker in Rotterdam";"6635082/771a228d/";"Onvervalste Road Rage in Rotterdam. Vrachtchauffeur in Volvo wordt achtervolgd door ""Marokkaans ogende mensen"" in een Mercedes Vito (kenteken 04-VZ-DK). Topic op GEENSTIJL."
"77";"Onder de indruk van Boer Geert";"6635517/82d16aec/";"Boer Geert weet wel hoe hij de vrouwtjes gek krijgt."
"78";"Dagje peddelen in Rotterdam";"6635542/2f7d86cc/";"Met gratis mooie wolken, want zo ies natoer."
"79";"Slechte dag met GTA";"6635525/727c72e4/";"Dat kan er nog wel bij. En dat ook. En dat ook."
"80";"Petje wil vechten";"6635602/2972e08e/";"Wacht erop.."
"81";"Louis from Gaal strikes again!";"6635488/ad2bbee4/";"Queens Park Raisins - Man Utd 0-2"
"82";"Gabbertje voor het leven";"6635663/f765e51b/";"Mooi beeld van de gemiddelde gabber"
"83";"Niet fucken met Rotterdamse Joop";"6636847/4e348a45/";"De aard van het beestje..."
"84";"Supportershome Ajax in de fik";"6636224/2acf2f0a/";"Grapjes over 'Ajax Blusmiddelen' in de comments"
"85";"GSTV goes Griekenland II. Athene by Nightclub";"6636603/3b2e29cb/";"Ja leuk die Griekse verkiezngen. Maar VanLeeuwen had een kater van de ouzo en die spoel je maar op 1 manier weg. Door verder te gaan zuipen in het nachtleven van Gazi en lekkere chicks te filmen"
"86";"Hans Teeuwen SLOOPT Peter R. de Vries";"6636317/7fdb955c/";"Het was heel erg, dat #jouwfatsoenmijnfatsoen. Rapper Appa was er en die was óók heel erg. Maar die woordspugende zwakstroom-lts'er weet nou eenmaal niet beter. Het allerergste was derhalve Peter R. de Vries. Want die was natúúrlijk ook present. Veel mens"
"87";"Knuffelmarokkaan geeft het goede voorbeeld.";"6636142/659d2b29/";"Ali snapt het"
"88";"Als Darude van huis is";"6636166/1d38dde1/";"Sandstorm in de keuken"
"89";"Reaguurder heeft strakke vriendin";"6636023/bebd6e23/";"Ssssssstt, hou je bek!"
"90";"Deze heldhond kan je leven redden";"6636064/c355a373/";"Als ie je niet bewusteloos jumpt dan."
"91";"Deense tafeltennisspeler";"6635772/5503daf6/";"Krijgt moment van fame"
"92";"200 euro geven aan een zwerver";"6636121/f4a9ca90/";"Probeer het droog te houden"
"93";"Geile Geert. The movie";"6636952/bb5a69fc/";"Coming soon in a theater near you"
"94";"Zo met je bakkus in het draad";"6635686/a77ee7f2/";"Stukje Spiderman voor de cool"
"95";"Meisje krijgt broek niet aan";"6641275/9384158d/";"Godver!"
"96";"Haha zal ik jou eens laten schrikken";"6642305/942fedb7/";"Deobus met aansteker!"
"97";"Moeder wordt verrast op de radio.";"6641420/1f46afef/";"Een Australische moeder die net haar 19-jarige zoon heeft verloren in een ongeluk, krijgt verrassing op de radio."
